assay_chembl_id,canonical_smiles,data_validity_comment,molecule_chembl_id,pchembl_value,relation,standard_relation,standard_type,standard_units,standard_value,type,units,value,source
CHEMBL665293,CCCCc1c(O)c2c(Cl)cccc2[n+]2ccccc12.[Cl-],,CHEMBL174255,5.77,=,=,EC50,nM,1700.0,EC50,uM,1.7,ChEMBL
CHEMBL665292,CCCCc1c(O)c2c(Cl)cccc2[n+]2ccccc12.[Cl-],,CHEMBL174255,6.12,=,=,EC50,nM,750.0,EC50,uM,0.75,ChEMBL
CHEMBL665293,CCCc1c(O)c2cccc(Cl)c2[n+]2ccccc12.[Cl-],,CHEMBL173488,4.27,=,=,EC50,nM,54200.0,EC50,uM,54.2,ChEMBL
CHEMBL665292,CCCc1c(O)c2cccc(Cl)c2[n+]2ccccc12.[Cl-],,CHEMBL173488,4.32,=,=,EC50,nM,48000.0,EC50,uM,48.0,ChEMBL
CHEMBL665293,CC(C)Cc1c(O)c2cccc(Cl)c2[n+]2ccccc12.[Cl-],,CHEMBL176333,4.58,=,=,EC50,nM,26000.0,EC50,uM,26.0,ChEMBL
CHEMBL665292,CC(C)Cc1c(O)c2cccc(Cl)c2[n+]2ccccc12.[Cl-],,CHEMBL176333,4.50,=,=,EC50,nM,32000.0,EC50,uM,32.0,ChEMBL
CHEMBL665293,Oc1cc2cccc[n+]2c2cccc(Cl)c12.[Cl-],Outside typical range,CHEMBL367928,,=,=,EC50,nM,146000.0,EC50,uM,146.0,ChEMBL
CHEMBL665292,Oc1cc2cccc[n+]2c2cccc(Cl)c12.[Cl-],Outside typical range,CHEMBL367928,,>,>,EC50,nM,200000.0,EC50,uM,200.0,ChEMBL
CHEMBL665293,CCCCCc1c(O)c2cccc(Cl)c2[n+]2ccccc12.[Cl-],,CHEMBL177276,4.68,=,=,EC50,nM,21000.0,EC50,uM,21.0,ChEMBL
CHEMBL665292,CCCCCc1c(O)c2cccc(Cl)c2[n+]2ccccc12.[Cl-],,CHEMBL177276,4.70,=,=,EC50,nM,20000.0,EC50,uM,20.0,ChEMBL
CHEMBL665293,CCCCc1c(O)c2cccc(Cl)c2[n+]2ccccc12.[Cl-],,CHEMBL173487,4.63,=,=,EC50,nM,23500.0,EC50,uM,23.5,ChEMBL
CHEMBL665292,CCCCc1c(O)c2cccc(Cl)c2[n+]2ccccc12.[Cl-],,CHEMBL173487,4.47,=,=,EC50,nM,34000.0,EC50,uM,34.0,ChEMBL
CHEMBL665293,Oc1cc2cccc[n+]2c2c(Cl)cccc12.[Cl-],Outside typical range,CHEMBL175225,,=,=,EC50,nM,141000.0,EC50,uM,141.0,ChEMBL
CHEMBL665292,Oc1cc2cccc[n+]2c2c(Cl)cccc12.[Cl-],Outside typical range,CHEMBL175225,,>,>,EC50,nM,200000.0,EC50,uM,200.0,ChEMBL
CHEMBL665293,CCOC(=O)c1c(O)c2cccc(F)c2[n+]2ccccc12.[Cl-],,CHEMBL177257,4.15,=,=,EC50,nM,70500.0,EC50,uM,70.5,ChEMBL
CHEMBL665292,CCOC(=O)c1c(O)c2cccc(F)c2[n+]2ccccc12.[Cl-],,CHEMBL177257,4.02,=,=,EC50,nM,95000.0,EC50,uM,95.0,ChEMBL
CHEMBL833631,O=C(Nc1ccc(Cl)cc1)C1Cc2ccccc2CN1C(=O)c1cccc(Oc2ccccc2)c1,,CHEMBL190630,6.53,=,=,EC50,nM,294.0,EC50,nM,294.0,ChEMBL
CHEMBL833631,O=C(Nc1ccc(F)cc1)[C@H]1Cc2ccccc2CN1C(=O)c1cccc(Oc2ccccc2)c1,,CHEMBL365755,6.70,=,=,EC50,nM,202.0,EC50,nM,202.0,ChEMBL
CHEMBL833631,O=C(Nc1ccc(Cl)cc1)[C@@H]1Cc2ccccc2CN1C(=O)c1cccc(Oc2ccccc2)c1,,CHEMBL369882,6.92,=,=,EC50,nM,119.0,EC50,nM,119.0,ChEMBL
CHEMBL833631,O=C(Nc1ccc(Br)cc1)[C@H]1Cc2ccccc2CN1C(=O)c1cccc(Oc2ccccc2)c1,,CHEMBL176160,6.54,=,=,EC50,nM,292.0,EC50,nM,292.0,ChEMBL
CHEMBL833631,O=C(Nc1ccc(I)cc1)[C@H]1Cc2ccccc2CN1C(=O)c1cccc(Oc2ccccc2)c1,,CHEMBL367321,6.50,=,=,EC50,nM,314.0,EC50,nM,314.0,ChEMBL
CHEMBL833631,CCCCc1ccc(NC(=O)[C@H]2Cc3ccccc3CN2C(=O)c2cccc(Oc3ccccc3)c2)cc1,,CHEMBL427361,6.70,=,=,EC50,nM,202.0,EC50,nM,202.0,ChEMBL
CHEMBL833631,CCCCCc1ccc(NC(=O)[C@H]2Cc3ccccc3CN2C(=O)c2cccc(Oc3ccccc3)c2)cc1,,CHEMBL195690,7.21,=,=,EC50,nM,61.0,EC50,nM,61.0,ChEMBL
CHEMBL833631,CCCCCc1ccc(NC(=O)[C@@H]2Cc3ccccc3CN2C(=O)c2cccc(Oc3ccccc3)c2)cc1,,CHEMBL192735,7.64,=,=,EC50,nM,23.0,EC50,nM,23.0,ChEMBL
CHEMBL833631,CCCCCCc1ccc(NC(=O)[C@H]2Cc3ccccc3CN2C(=O)c2cccc(Oc3ccccc3)c2)cc1,,CHEMBL195376,7.00,=,=,EC50,nM,100.0,EC50,nM,100.0,ChEMBL
CHEMBL833631,CCCCCCCc1ccc(NC(=O)[C@H]2Cc3ccccc3CN2C(=O)c2cccc(Oc3ccccc3)c2)cc1,,CHEMBL192245,6.64,=,=,EC50,nM,230.0,EC50,nM,230.0,ChEMBL
CHEMBL833631,CC(C)CCCc1ccc(NC(=O)[C@H]2Cc3ccccc3CN2C(=O)c2cccc(Oc3ccccc3)c2)cc1,,CHEMBL364669,6.80,=,=,EC50,nM,160.0,EC50,nM,160.0,ChEMBL
CHEMBL833631,CCOc1ccc(NC(=O)[C@H]2Cc3ccccc3CN2C(=O)c2cccc(Oc3ccccc3)c2)cc1,,CHEMBL425191,6.38,=,=,EC50,nM,420.0,EC50,nM,420.0,ChEMBL
CHEMBL833631,CCCCOc1ccc(NC(=O)[C@H]2Cc3ccccc3CN2C(=O)c2cccc(Oc3ccccc3)c2)cc1,,CHEMBL370964,6.84,=,=,EC50,nM,145.0,EC50,nM,145.0,ChEMBL
CHEMBL833631,CCCCN(C(C)=O)c1ccc(NC(=O)[C@H]2Cc3ccccc3CN2C(=O)c2cccc(Oc3ccccc3)c2)cc1,,CHEMBL195438,7.18,=,=,EC50,nM,66.0,EC50,nM,66.0,ChEMBL
CHEMBL833631,CCCCCN(C(C)=O)c1ccc(NC(=O)[C@H]2Cc3ccccc3CN2C(=O)c2cccc(Oc3ccccc3)c2)cc1,,CHEMBL365601,7.15,=,=,EC50,nM,71.0,EC50,nM,71.0,ChEMBL
CHEMBL833631,O=C(Nc1cccnc1)[C@H]1Cc2ccccc2CN1C(=O)c1cccc(Oc2ccccc2)c1,,CHEMBL370291,7.39,=,=,EC50,nM,41.0,EC50,nM,41.0,ChEMBL
CHEMBL833631,O=C(Nc1ccc(Cl)nc1)[C@H]1Cc2ccccc2CN1C(=O)c1cccc(Oc2ccccc2)c1,,CHEMBL366200,7.18,=,=,EC50,nM,66.0,EC50,nM,66.0,ChEMBL
CHEMBL833631,CCCCCc1ccc(NC(=O)[C@@H]2Cc3ccccc3CN2C(=O)c2cccc(Oc3ccccc3)c2)cn1,,CHEMBL372489,7.28,=,=,EC50,nM,53.0,EC50,nM,53.0,ChEMBL
CHEMBL833631,O=C(Nc1ccc(Cl)cc1)[C@H]1Cc2ccccc2CN1C(=O)c1ccccc1Oc1ccccc1,,CHEMBL192134,6.47,=,=,EC50,nM,338.0,EC50,nM,338.0,ChEMBL
CHEMBL833631,O=C(Nc1ccc(Cl)cc1)[C@H]1Cc2ccccc2CN1C(=O)c1cccc(Oc2ccccc2)c1,,CHEMBL364514,6.47,=,=,EC50,nM,336.0,EC50,nM,336.0,ChEMBL
CHEMBL833631,O=C(Nc1ccc(Cl)cc1)[C@H]1Cc2ccccc2CN1C(=O)c1cccc(Cc2ccccc2)c1,,CHEMBL434733,6.54,=,=,EC50,nM,291.0,EC50,nM,291.0,ChEMBL
CHEMBL833631,O=C(Nc1ccc(Cl)cc1)[C@H]1Cc2ccccc2CN1C(=O)c1cccc(Sc2ccccc2)c1,,CHEMBL370945,6.41,=,=,EC50,nM,394.0,EC50,nM,394.0,ChEMBL
CHEMBL833631,COc1ccc(Oc2cccc(C(=O)N3Cc4ccccc4C[C@@H]3C(=O)Nc3ccc(Cl)cc3)c2)cc1,,CHEMBL191191,6.78,=,=,EC50,nM,167.0,EC50,nM,167.0,ChEMBL
CHEMBL833631,O=C(Nc1ccc(Cl)cc1)[C@H]1Cc2ccccc2CN1C(=O)c1cccc(Oc2ccc(C(F)(F)F)cc2)c1,,CHEMBL195850,6.55,=,=,EC50,nM,282.0,EC50,nM,282.0,ChEMBL
CHEMBL833631,O=C(Nc1ccc(Cl)cc1)[C@H]1Cc2ccccc2CN1C(=O)c1cccc(Oc2ccc(F)cc2)c1,,CHEMBL195151,6.23,=,=,EC50,nM,590.0,EC50,nM,590.0,ChEMBL
CHEMBL833631,O=C(Nc1ccc(Cl)cc1)[C@H]1Cc2ccccc2CN1C(=O)c1cccc(Oc2ccccn2)c1,,CHEMBL364672,6.57,=,=,EC50,nM,268.0,EC50,nM,268.0,ChEMBL
CHEMBL833631,CCCCCc1ccc(NC(=O)[C@@H]2Cc3ccccc3CN2C(=O)c2cccc(OC)c2)cc1,,CHEMBL191294,6.75,=,=,EC50,nM,176.0,EC50,nM,176.0,ChEMBL
CHEMBL833631,CCCCCc1ccc(NC(=O)[C@@H]2Cc3ccccc3CN2C(=O)c2cccc(OCC)c2)cc1,,CHEMBL195793,7.58,=,=,EC50,nM,26.0,EC50,nM,26.0,ChEMBL
CHEMBL833631,CCCCCc1ccc(NC(=O)[C@@H]2Cc3ccccc3CN2C(=O)c2cccc(OC(C)C)c2)cc1,,CHEMBL366586,8.20,=,=,EC50,nM,6.3,EC50,nM,6.3,ChEMBL
CHEMBL833631,CCCCCc1ccc(NC(=O)[C@@H]2Cc3ccccc3CN2C(=O)c2cccc(OCC(C)C)c2)cc1,,CHEMBL191926,8.00,=,=,EC50,nM,10.0,EC50,nM,10.0,ChEMBL
CHEMBL833631,CCCCCc1ccc(NC(=O)[C@@H]2Cc3ccccc3CN2C(=O)c2cccc(OC3CCCC3)c2)cc1,,CHEMBL192583,7.82,=,=,EC50,nM,15.0,EC50,nM,15.0,ChEMBL
CHEMBL833631,CCCCCc1ccc(NC(=O)[C@@H]2Cc3ccccc3CN2C(=O)c2cccc(OC3CCCCC3)c2)cc1,,CHEMBL373288,7.70,=,=,EC50,nM,20.0,EC50,nM,20.0,ChEMBL
CHEMBL833631,CCCCCc1ccc(NC(=O)[C@@H]2Cc3ccccc3CN2C(=O)c2cccc(Cl)c2)cc1,,CHEMBL363368,7.29,=,=,EC50,nM,51.0,EC50,nM,51.0,ChEMBL
CHEMBL833631,CCCCCc1ccc(NC(=O)[C@@H]2Cc3ccccc3CN2C(=O)c2ccc(Cl)c(Cl)c2)cc1,,CHEMBL191797,7.09,=,=,EC50,nM,82.0,EC50,nM,82.0,ChEMBL
CHEMBL833631,CCCCCc1ccc(NC(=O)[C@@H]2Cc3ccccc3CN2C(=O)c2ccc(OC)c(Oc3ccccc3)c2)cc1,,CHEMBL192086,7.92,=,=,EC50,nM,12.0,EC50,nM,12.0,ChEMBL
CHEMBL833631,CCCCCc1ccc(NC(=O)[C@@H]2Cc3ccccc3CN2C(=O)c2ccc(OC)c(OC(C)C)c2)cc1,,CHEMBL191928,8.46,=,=,EC50,nM,3.5,EC50,nM,3.5,ChEMBL
CHEMBL833631,CCCCCc1ccc(NC(=O)[C@@H]2Cc3ccccc3CN2C(=O)c2cc(Oc3ccccc3)ccn2)cc1,,CHEMBL372893,7.70,=,=,EC50,nM,20.0,EC50,nM,20.0,ChEMBL
CHEMBL833631,CCCCCc1ccc(NC(=O)[C@@H]2Cc3ccccc3CN2C(=O)c2cc(OC(C)C)ccn2)cc1,,CHEMBL192547,8.22,=,=,EC50,nM,6.0,EC50,nM,6.0,ChEMBL
CHEMBL833631,CCCCCc1ccc(NC(=O)[C@@H]2Cc3ccccc3CN2C(=O)c2cc(OC3CCCCC3)ccn2)cc1,,CHEMBL195630,8.03,=,=,EC50,nM,9.4,EC50,nM,9.4,ChEMBL
CHEMBL833631,CCCCCc1ccc(NC(=O)[C@@H]2Cc3ccccc3CN2C(=O)c2cc(Cl)ccn2)cc1,,CHEMBL189924,7.10,=,=,EC50,nM,79.0,EC50,nM,79.0,ChEMBL
