canonical_key,canonical_smiles,pIC50,src_spread,n_meas,standard_type,source,pIC50_std
Brc1ccc2ncnc(NCc3ccccc3)c2c1,Brc1ccc2ncnc(NCc3ccccc3)c2c1,6.296,0.0,1.0,other,Papyrus,0.0
Brc1ccc2ncnc(NCc3cccnc3)c2c1,Brc1ccc2ncnc(NCc3cccnc3)c2c1,5.648,0.0,1.0,other,Papyrus,0.0
Brc1ccc2ncnc(NCc3ccco3)c2c1,Brc1ccc2ncnc(NCc3ccco3)c2c1,5.246,0.0,1.0,other,Papyrus,0.0
Brc1cccc(CSc2nnc(-c3ccncc3)o2)c1,Brc1cccc(CSc2nnc(-c3ccncc3)o2)c1,5.162000000000001,0.0,1.0,other,Papyrus,0.0
C#CCN(CC1C(OC(=O)NC2CC2)C(OC(=O)NC2CC2)Cn2c(=O)ccc(=O)n21)S(=O)(=O)c1ccc(C)cc1,C#CCN(CC1C(OC(=O)NC2CC2)C(OC(=O)NC2CC2)Cn2c(=O)ccc(=O)n21)S(=O)(=O)c1ccc(C)cc1,5.564,0.0,1.0,other,Papyrus,0.0
C#CCN(CC1C(OC(=O)NCc2ccco2)C(OC(=O)NCc2ccco2)Cn2c(=O)ccc(=O)n21)S(=O)(=O)c1ccc(C)cc1,C#CCN(CC1C(OC(=O)NCc2ccco2)C(OC(=O)NCc2ccco2)Cn2c(=O)ccc(=O)n21)S(=O)(=O)c1ccc(C)cc1,5.507000000000001,0.0,1.0,other,Papyrus,0.0
C#Cc1ccc(O[C@H]2CCCc3c(C(F)(F)F)nn(-c4cccc(C(=O)N(C)c5ccc(C6(C(F)(F)F)N=N6)cc5)c4)c32)cc1,C#Cc1ccc(O[C@H]2CCCc3c(C(F)(F)F)nn(-c4cccc(C(=O)N(C)c5ccc(C6(C(F)(F)F)N=N6)cc5)c4)c32)cc1,6.414539270491499,0.0,1.0,EC50,ChEMBL,0.0
C#Cc1ccc(O[C@H]2CCCc3c(C(F)(F)F)nn(-c4cccc(C(=O)N(C)c5ccc6c(c5)OC(F)(F)O6)c4)c32)cc1,C#Cc1ccc(O[C@H]2CCCc3c(C(F)(F)F)nn(-c4cccc(C(=O)N(C)c5ccc6c(c5)OC(F)(F)O6)c4)c32)cc1,8.481486060122112,0.0,1.0,EC50,ChEMBL,0.0
C=C(C)C1CCC2(C(=O)O)CCC3(C)C(CCC4C5(C)CCC(=O)C(C)(C)C5CCC43C)C12,C=C(C)C1CCC2(C(=O)O)CCC3(C)C(CCC4C5(C)CCC(=O)C(C)(C)C5CCC43C)C12,5.082,0.0,1.0,other,Papyrus,0.0
C=C(C)CN1Cc2cc(Cl)cc3[nH]c(=O)n(c23)CC1C,CC1Cn2c3c(CN1CC(C)=C)cc(Cl)cc3[nH]c2=O,5.958607314841775,0.0,1.0,EC50,BindingDB,0.0
C=C(C)COc1ccc(-c2[nH]ncc2-c2ccc(OC)cc2)c(O)c1,C=C(C)COc1ccc(-c2[nH]ncc2-c2ccc(OC)cc2)c(O)c1,5.295,0.0,1.0,other,Papyrus,0.0
C=C(c1ccc2[nH]c(NC(=O)OC)nc2c1)c1cccs1,C=C(c1ccc2[nH]c(NC(=O)OC)nc2c1)c1cccs1,5.297999999999999,0.0,1.0,other,Papyrus,0.0
C=C1C(=O)C23C(O)C1CCC2C12COC3(O)C(O)C1C(C)(C)CCC2O,C=C1C(=O)C23C(O)C1CCC2C12COC3(O)C(O)C1C(C)(C)CCC2O,5.433,0.0,1.0,other,Papyrus,0.0
C=C1C(=O)C23CC1CCC2C1(C)C(=O)CCC(C)(C(=O)O)C1CC3O,C=C1C(=O)C23CC1CCC2C1(C)C(=O)CCC(C)(C(=O)O)C1CC3O,6.018,0.0,1.0,other,Papyrus,0.0
C=C1C(=O)C23CC1CCC2C1(C)C(O)CCC(C)(C(=O)O)C1CC3O,C=C1C(=O)C23CC1CCC2C1(C)C(O)CCC(C)(C(=O)O)C1CC3O,5.697,0.0,2.0,other,Papyrus,0.006
C=C1C(=O)C23CC1CCC2C1(C)C(OC(C)=O)CCC(C)(C(=O)O)C1CC3O,C=C1C(=O)C23CC1CCC2C1(C)C(OC(C)=O)CCC(C)(C(=O)O)C1CC3O,6.028,0.0,1.0,other,Papyrus,0.0
C=C1C(=O)OC23C1CCC(C)C2CCC1(C)OC13,C=C1C(=O)OC23C1CCC(C)C2CCC1(C)OC13,5.425,0.0,1.0,other,Papyrus,0.0
C=C1C(=O)OC2C1CCC(C)=CCCC1(C)OC21,C=C1C(=O)OC2C1CCC(C)=CCCC1(C)OC21,5.445,0.0,1.0,other,Papyrus,0.0
C=C1C(=O)OC2C1CCC(C)C1(O)CCC(=O)C21C,C=C1C(=O)OC2C1CCC(C)C1(O)CCC(=O)C21C,5.625,0.0,1.0,other,Papyrus,0.0
C=C1C(=O)OC2CC1C(O)CC(C)=CCCC(C)=CC(O)CC2C,C=C1C(=O)OC2CC1C(O)CC(C)=CCCC(C)=CC(O)CC2C,6.27,0.0,1.0,other,Papyrus,0.0
C=C1C(=O)OC2CC1C(OC(C)=O)CC(C)=CCCC(C)=CCCC2(C)O,C=C1C(=O)OC2CC1C(OC(C)=O)CC(C)=CCCC(C)=CCCC2(C)O,5.699,0.0,1.0,other,Papyrus,0.0
C=C1C(=O)OC2CC3(C)OC3CCC(C)=CC(OC(C)=O)C12,C=C1C(=O)OC2CC3(C)OC3CCC(C)=CC(OC(C)=O)C12,5.644,0.0,1.0,other,Papyrus,0.0
C=C1C(C)C2C(Cc3ccccc3)NC(=O)C23OC(=O)CCC(=O)CCCC(C)CC=CC3C1O,C=C1C(C)C2C(Cc3ccccc3)NC(=O)C23OC(=O)CCC(=O)CCCC(C)CC=CC3C1O,5.903,0.0,1.0,other,Papyrus,0.0
C=CC(=O)Nc1cccc(Oc2ncnc3[nH]cc(-c4cnc5ccccc5c4)c23)c1,C=CC(=O)Nc1cccc(Oc2ncnc3[nH]cc(-c4cnc5ccccc5c4)c23)c1,5.87,0.0,1.0,other,Papyrus,0.0
C=CCC(CC(=O)N(CCO)Cc1ccccc1)C(=O)NCC(OC(=O)C(CC=C)Cc1ccc(F)cc1)c1ccccc1,C=CCC(CC(=O)N(CCO)Cc1ccccc1)C(=O)NCC(OC(=O)C(CC=C)Cc1ccc(F)cc1)c1ccccc1,5.393,0.0,1.0,other,Papyrus,0.0
C=CCC(Cc1ccc(F)cc1)C(=O)OC(CNC(=O)C(=CC(=O)NC(CO)Cc1ccccc1)CCC)c1ccccc1,C=CCC(Cc1ccc(F)cc1)C(=O)OC(CNC(=O)C(=CC(=O)NC(CO)Cc1ccccc1)CCC)c1ccccc1,5.252000000000001,0.0,1.0,other,Papyrus,0.0
C=CCC12C=CCC(=O)C1(O)OC(c1ccc(OC)c(OC)c1)C2C,C=CCC12C=CCC(=O)C1(O)OC(c1ccc(OC)c(OC)c1)C2C,5.336,0.0,1.0,other,Papyrus,0.0
C=CCN(CC=C)c1ncnc2[nH]ncc12,C=CCN(CC=C)c1ncnc2[nH]ncc12,5.907,0.0,1.0,other,Papyrus,0.0
C=CCN1C2=C(C(=O)OC)C(C(=O)OC)N=C3N(C(=O)c4ccc(Br)cc4)C(C(=O)OC)CC32c2ccccc21,C=CCN1C2=C(C(=O)OC)C(C(=O)OC)N=C3N(C(=O)c4ccc(Br)cc4)C(C(=O)OC)CC32c2ccccc21,5.029,0.0,1.0,other,Papyrus,0.0
C=CCN1c2ccccc2Sc2cnccc21,C=CCN1c2ccccc2Sc2cnccc21,5.587000000000001,0.0,1.0,other,Papyrus,0.0
C=CCSc1nc2ccccc2n1C(=O)C=Cc1ccc(OC)c(OC)c1,C=CCSc1nc2ccccc2n1C(=O)C=Cc1ccc(OC)c(OC)c1,5.461,0.0,1.0,other,Papyrus,0.0
C=CCSc1nsc(NC(=O)Nc2cccc(C(C)=O)c2)n1,C=CCSc1nsc(NC(=O)Nc2cccc(C(C)=O)c2)n1,5.8420000000000005,0.0,1.0,other,Papyrus,0.0
C=CCc1cc(-c2sc(NC(=O)C(C)(C)C)nc2C)nn1C(=O)Nc1ccc(OC)cc1,C=CCc1cc(-c2sc(NC(=O)C(C)(C)C)nc2C)nn1C(=O)Nc1ccc(OC)cc1,6.030060178827579,8.227530476168854e-05,2.0,EC50,"BindingDB,ChEMBL",8.227530476168854e-05
C=CCc1cc(-c2sc(NC(=O)C(C)(C)C)nc2C)nn1C(=O)Nc1ccccc1,C=CCc1cc(-c2sc(NC(=O)C(C)(C)C)nc2C)nn1C(=O)Nc1ccccc1,5.519996652225607,5.084356215178589e-06,2.0,EC50,"BindingDB,ChEMBL",5.084356215178589e-06
C=CCc1cc(C(=O)c2sc(NC(=O)C3(c4ccc5c(c4)OCO5)CC3)nc2-c2ccccc2)ccc1O,C=CCc1cc(C(=O)c2sc(NC(=O)C3(c4ccc5c(c4)OCO5)CC3)nc2-c2ccccc2)ccc1O,6.552841968657781,0.0016408113695983218,3.0,EC50,"BindingDB,ChEMBL,Papyrus",0.0016408113695983218
C=CCc1cc(S(=O)(=O)c2ccc(O)c(CC=C)c2)ccc1O,C=CCc1cc(S(=O)(=O)c2ccc(O)c(CC=C)c2)ccc1O,5.198,0.0,1.0,other,Papyrus,0.0
C=CCn1c(=O)c(-c2cccc([N+](=O)[O-])c2)nc2ccccc21,C=CCn1c(=O)c(-c2cccc([N+](=O)[O-])c2)nc2ccccc21,7.259637310505756,0.00020939887713389803,3.0,EC50,"BindingDB,ChEMBL,Papyrus",0.00020939887713389803
C=CCn1c(Oc2ccccc2F)nc2c1c(=O)n(C)c(=O)n2C,C=CCn1c(Oc2ccccc2F)nc2c1c(=O)n(C)c(=O)n2C,5.244,0.0,1.0,other,Papyrus,0.0
C=CCn1cnc2c(c1=O)c1nc3ccccc3nc1n2N=Cc1cc(OC)c(OC)c(OC)c1,C=CCn1cnc2c(c1=O)c1nc3ccccc3nc1n2N=Cc1cc(OC)c(OC)c(OC)c1,5.379,0.0,1.0,other,Papyrus,0.0
C=CCn1cnc2c1N=CN1C2=NC(C)(C(=O)O)C(O)C1(C)O,C=CCn1cnc2c1N=CN1C2=NC(C)(C(=O)O)C(O)C1(C)O,5.402,0.0,4.0,EC50,Papyrus,0.278
C=CCn1cnc2c1N=CN1C2=N[C@](C)(C(=O)O)[C@@H](O)[C@@]1(C)O,C=CCn1cnc2c1N=CN1C2=N[C@](C)(C(=O)O)[C@@H](O)[C@@]1(C)O,5.1249387366083,0.0,1.0,EC50,ChEMBL,0.0
C=CCn1cnc2c1N=CN1C2=N[C@](C)(C(=O)O)[C@H](O)[C@]1(C)O,C=CCn1cnc2c1N=CN1C2=N[C@](C)(C(=O)O)[C@H](O)[C@]1(C)O,5.6777807052660805,0.0,1.0,EC50,ChEMBL,0.0
C=CCn1cnc2c1N=CN1C2=[NH+][C@](C)(C(=O)[O-])[C@@H](O)[C@@]1(C)O,"C[C@@]1(O)[C@H](O)[C@](C)([NH+]=C2N1C=Nc1c2ncn1CC=C)C([O-])=O |r,c:7,11|",5.1249387366083,0.0,1.0,EC50,BindingDB,0.0
